id,sentence,eng_result,kor_result
38,형사처벌을 받은 전력이 없는 초범이다.,He is a first-time criminal who has no history of criminal punishment.,그는 형사처벌 전력이 없는 초범이다.
42,집행유예 2년,suspended sentence of two years,집행유예 2년
42,종전에 동종의 범죄로 처벌받은 전력이 없는 점 등의 긍정적인 정상 및 그 밖의 피고인의 연령,"Positive normalcy, such as the fact that there has been no previously punished for the same kind of crime, and the age of other defendants","동종범죄에 대하여 종전에 처벌받은 사실이 없는 점, 다른 피고인의 연령 등 긍정적 정상"
105,피고인이 형사처벌 받은 전력이 없는 초범인 점은 유리한 정상으로 참작하고,The fact that the defendant is a first-time offender without a criminal record is considered to be advantageous,피고인이 전과가 없는 초범이라는 점이 유리하다고 볼 수 있다.
339,[집행유예 참작사유],[Reason for suspension of execution],[집행정지 사유]
339,동종 범죄 처벌전력은 없고 기타 처벌전력 등을 참작한다.,"There is no history of punishment for the same kind of crime, and other history of punishment is taken into account.","동종 범죄에 대한 처벌 이력은 없으며, 다른 처벌 이력도 고려된다."
876,피고인이 과거 형사처벌을 받은 전력이 없는 초범인 점,The fact that the Defendant is a first-time offender who has no history of criminal punishment in the past,피고인이 과거 형사처벌 전력이 없는 초범이라는 사실
1088,피고인은 동종범죄 처벌 전력이 없고 자신의 잘못을 시인하고 반성하는 점,The fact that the Defendant has no history of punishing same-sex crimes and acknowledges and reflects on his/her mistakes,피고인이 동성범죄를 처벌한 전력이 없고 잘못을 인정하고 반성하는 점
1113,피고인이 동종 범죄로 처벌받은 전력이 없다.,The accused has no history of being punished for the same crime.,피고인은 같은 범죄로 처벌받은 전력이 없다.
1113,피고인에게 1회의 실형 전과,The defendant was sentenced to one prison sentence,피고는 1개의 징역형을 선고받았다.
1113,4회의 집행유예 전과를 비롯하여 다수의 형사처벌 전력이 있다.,"There are a number of criminal penalties, including four probation convictions.",집행유예 4범을 포함해 형사처벌도 적지 않다.
1113,특히 피고인은 대구지방법원에서 2016. 12. 8. 특정범죄가중처벌등에관한법률위반(운전자폭행등)죄로 징역 6개월에 집행유예 2년을 선고받았고,"In particular, the Defendant was sentenced to six months in prison and two years of probation for violating the Act on the Aggravated Punishment, etc. of Specific Crimes (Driver Assault, etc.) on December 8, 2016",특히 피고인은 2016. 12. 8. 특정범죄 가중처벌 등에 관한 법률(운전자 폭행 등) 위반 혐의로 징역 6개월에 집행유예 2년을 선고받았다.
1113,위 집행유예 기간 중인 2017. 6.경 범한 재물손괴죄에 대하여 같은 법원에서 2017. 10. 12. 벌금형의 선처를 받았음에도 다시 이 사건 범행을 저질렀다.,"The crime of property damage committed around June 2017 during the above probation period was committed again even though the same court was fined on October 12, 2017.",위 집행유예기간 중 2017년 6월경에 저지른 재물손괴죄는 2017. 10. 12. 같은 법원에서 벌금형을 선고받았음에도 다시 저질러졌다.
1128,피고인에게 동종 전과가 없는 점,The fact that the Defendant has no criminal record of the same kind,피고인이 동종의 전과가 없다는 사실
1988,3. 선고형의 결정 : 징역 6월에 집행유예 1년,3. Decision of sentence: imprisonment for 6 months and probation for 1 year,"3. 형의 결정 : 징역 6개월, 집행유예 1년"
1988,한편 피고인이 공무집행방해 범행으로 처벌받거나 벌금형을 초과하는 형사처벌을 받은 전력이 없는 점,"On the other hand, the Defendant has no history of being punished for obstructing the execution of official duties or receiving criminal punishment exceeding a fine",그러나 피고인은 공무집행을 방해하거나 벌금을 초과하는 형사처벌을 받은 전력이 없다.
2000,피고인의 전과를 비롯하여 피고인의 연령,"The age of the defendant, including the defendant's criminal record",피고인의 전과를 포함한 피고인의 연령
2143,집행유예 이상의 전과가 없음,No criminal record more than probation,집행유예 이상의 전과는 없다.
2183,[집행유예 참작사유] 없음,[Reason for suspension of execution] None,[집행정지 사유] 없음
2183,벌금형을 초과하는 범죄전과는 없다.,There is no criminal record exceeding the fine.,벌금을 초과한 전과는 없다.
2470,업무방해죄 등으로 10여 차례 벌금형의 처벌을 받은 전력이 있고,He has a history of being fined more than 10 times for obstruction of business,업무방해 혐의로 10차례 이상 벌금형을 받은 전력이 있다.
