id,sentence,dataSplit,casename,matched,ruleType
31,- 동종 전력 2회(벌금 1회,train,강제추행,동종,공통_동종범죄
31,징역형의 집행유예 1회) 등이 있음에도 자숙하지 아니하고 이 사건 범행에 이르렀다.,train,강제추행,집행유예,공통_동종범죄
38,형사처벌을 받은 전력이 없는 초범이다.,train,강제추행,형사처벌,공통_동종범죄
42,집행유예 2년,train,강제추행,집행유예,공통_동종범죄
42,종전에 동종의 범죄로 처벌받은 전력이 없는 점 등의 긍정적인 정상 및 그 밖의 피고인의 연령,train,강제추행,동종,공통_동종범죄
71,벌금형으로 1회 처벌받은 이외<각주1> 다른 범죄전력이 없는 점,train,강제추행,벌금형,공통_동종범죄
94,과거 벌금형,train,강제추행,벌금형,공통_동종범죄
94,징역형 등의 형사처벌을 받은 전력이 수회 있는 점,train,강제추행,형사처벌,공통_동종범죄
94,다만 동종범죄로 처벌된 적은 없는 점,train,강제추행,동종,공통_동종범죄
105,피고인이 형사처벌 받은 전력이 없는 초범인 점은 유리한 정상으로 참작하고,train,강제추행,형사처벌,공통_동종범죄
158,전과관계(초범) 등 모든 양형조건을 종합하여 주문과 같이 형을 정한다.,train,강제추행,전과,공통_동종범죄
222,아무런 형사처벌을 받은 전력이 없는 초범인 점,train,강제추행,형사처벌,공통_동종범죄
239,피고인이 이종범죄로 벌금형을 받은 전력은 있으나,train,강제추행,벌금형,공통_동종범죄
239,집행유예 이상의 형을 선고받거나 성범죄로 처벌받은 전력은 없다.,train,강제추행,집행유예,공통_동종범죄
275,피고인이 동종 범죄로 형사처벌을 받은 적이 있고,train,강제추행,동종,공통_동종범죄
339,[집행유예 참작사유],train,강제추행,집행유예,공통_동종범죄
339,동종 범죄 처벌전력은 없고 기타 처벌전력 등을 참작한다.,train,강제추행,동종,공통_동종범죄
434,피고인에게 동종 범행 전력이 없고,train,강제추행,동종,공통_동종범죄
434,벌금형을 넘는 전력이 없는 점 등을 유리한 정상으로 참작하고,train,강제추행,벌금형,공통_동종범죄
447,○ 유리한 정상 : 초범이다.,train,강제추행,초범,공통_동종범죄
468,성행(동종 전력 없음),train,강제추행,동종,공통_동종범죄
468,벌금형을 선택하므로 양형기준이 적용되지 아니함,train,강제추행,벌금형,공통_동종범죄
468,피고인에게 동종 전과가 존재하지 않는 점,train,강제추행,동종,공통_동종범죄
473,피고인이 초범인 점,train,강제추행,초범,공통_동종범죄
473,구 아동·청소년의 성보호에 관한 법률(2020. 5. 19. 법률 제17282호로 개정되기 전의 것) 제50조 제1항 단서(피고인에게 동종전과가 없는 점,train,강제추행,동종,공통_동종범죄
476,피고인에게 동종 전력이 없는 점 등은 유리한 정상으로 적극 참작한다.,train,강제추행,동종,공통_동종범죄
523,피고인은 초범으로서 자신의 잘못을 인정하고 있다.,train,강제추행,초범,공통_동종범죄
558,전과 등 양형의 조건이 되는 제반 사정을 참작하여 주문과 같이 형을 정한다.,train,강제추행,전과,공통_동종범죄
636,피고인에게 벌금형보다 무거운 형사처벌을 받은 전력이 없는 점,train,강제추행,벌금형,공통_동종범죄
676,피고인의 전과,train,강제추행,전과,공통_동종범죄
704,피고인에게 동종 전과 또는 금고형의 집행유예 이상의 형으로 처벌받은 전력이 없는 점을 유리한 정상으로 고려한다.,train,강제추행,동종,공통_동종범죄
704,취업제한명령의 면제 피고인에게 동종 전과가 존재하지 않는 점,train,강제추행,동종,공통_동종범죄
876,피고인이 과거 형사처벌을 받은 전력이 없는 초범인 점,train,강제추행,형사처벌,공통_동종범죄
888,- 피고인은 범죄 전력이 없는 초범이다.,train,강제추행,초범,공통_동종범죄
888,장애인복지법 제59조의3 제1항 단서(피고인에게 동종전과가 없는 점,train,강제추행,동종,공통_동종범죄
